datetime,open,high,low,close
2025-08-25 22:00:00,3361.24,3362.71,3358.75,3358.76
2025-08-25 23:00:00,3358.75,3360.3,3355.48,3359.95
2025-08-26 00:00:00,3359.95,3361.89,3359.86,3361.88
2025-08-26 01:00:00,3361.88,3363.18,3360.05,3361.37
2025-08-26 02:00:00,3361.22,3363.3,3359.99,3362.95
2025-08-26 03:00:00,3362.95,3363.3,3361.24,3361.95
2025-08-26 04:00:00,3361.95,3362.85,3359.64,3361.8
2025-08-26 05:00:00,3361.81,3362.58,3353.96,3353.96
2025-08-26 06:00:00,3353.97,3355,3349.12,3349.54
2025-08-26 07:00:00,3349.54,3349.54,3336,3345.78
2025-08-26 08:00:00,3345.6,3350.57,3345,3350.05
2025-08-26 09:00:00,3350.05,3350.06,3339.76,3343.11
2025-08-26 10:00:00,3343.04,3370.66,3339.64,3367.02
2025-08-26 11:00:00,3366.1,3366.1,3357.65,3362.77
2025-08-26 12:00:00,3362.77,3367.98,3360.6,3362.2
2025-08-26 13:00:00,3362.08,3371.43994,3359,3360.73
2025-08-26 14:00:00,3360.73,3366.72,3360.73,3364.44
2025-08-26 15:00:00,3364.47,3367.67,3360.66,3365.42
2025-08-26 16:00:00,3365.42,3369.06,3362.42,3364.08
2025-08-26 17:00:00,3363.82,3365.95,3358.48,3364.03
2025-08-26 18:00:00,3364.52,3366.59,3363.84,3366.07
2025-08-26 19:00:00,3366.07,3366.07,3359.28,3362.59
2025-08-26 20:00:00,3362.59,3363.98,3357.69,3362.69
2025-08-26 21:00:00,3362.69,3367.35,3362.15,3364.6
2025-08-26 22:00:00,3364.5,3366.63,3361,3361.34
2025-08-26 23:00:00,3361,3365.88,3358.17,3364.01
2025-08-27 00:00:00,3364.01,3365.89,3360,3365.69
2025-08-27 01:00:00,3365.7,3374.03,3365.7,3371.56
2025-08-27 02:00:00,3371.55,3373.69,3370.06,3372.13
2025-08-27 03:00:00,3372.13,3373.36,3368.71,3369.85
2025-08-27 04:00:00,3369.85,3372.81,3368.44,3372.63
2025-08-27 05:00:00,3372.62,3376.84,3372.62,3374.29
2025-08-27 06:00:00,3374.3,3379.98,3374.3,3379.95
2025-08-27 07:00:00,3379.9,3382.01,3379.75,3382.01
2025-08-27 08:00:00,3382,3382.93,3375.78,3377.97
2025-08-27 09:00:00,3377.97,3380.1,3377.69,3378
2025-08-27 10:00:00,3378,3380.84,3378,3379.23
2025-08-27 11:00:00,3379.24,3379.24,3374.4,3375.99
2025-08-27 12:00:00,3375.99,3386.10010,3373.57,3373.92
